,Hero_1,Hero_2,Hero_3,Hero_4,Hero_5,Won
23091,Pugna,Disruptor,Phantom Assassin,Tidehunter,Leshrac,0
23092,Invoker,Wisp,Chaos Knight,Keeper of the Light,Undying,0
23093,Witch Doctor,Invoker,Nyx Assassin,Lifestealer,Undying,0
23094,Pudge,Rubick,Mirana,Templar Assassin,Disruptor,0
23095,Nature's Prophet,Zeus,Phantom Assassin,Omniknight,Slark,0
23096,Chaos Knight,Pugna,Puck,Outworld Devourer,Axe,0
23097,Invoker,Naga Siren,Mirana,Broodmother,Kunkka,0
23098,Huskar,Pugna,Bounty Hunter,Nature's Prophet,Lina,0
23099,Bane,Tinker,Windrunner,Morphling,Earthshaker,0
23100,Sand King,Mirana,Clockwerk,Puck,Lone Druid,0
23101,Shadow Shaman,Brewmaster,Anti-Mage,Pudge,Bounty Hunter,0
23102,Death Prophet,Shadow Fiend,Centaur Warrunner,Gyrocopter,Queen of Pain,0
23103,Axe,Treant Protector,Enchantress,Shadow Fiend,Lifestealer,0
23104,Venomancer,Enigma,Crystal Maiden,Clinkz,Meepo,0
23105,Clinkz,Lina,Shadow Demon,Pugna,Broodmother,0
23106,Skeleton King,Jakiro,Bane,Chaos Knight,Timbersaw,0
23107,Mirana,Bounty Hunter,Zeus,Ogre Magi,Necrolyte,0
23108,Nyx Assassin,Windrunner,Weaver,Enigma,Puck,0
23109,Keeper of the Light,Axe,Enchantress,Pudge,Naga Siren,0
23110,Tinker,Rubick,Kunkka,Magnus,Venomancer,0
23111,Bounty Hunter,Luna,Vengeful Spirit,Venomancer,Viper,0
23112,Shadow Demon,Bloodseeker,Bane,Lina,Troll Warlord,0
23113,Pudge,Meepo,Clinkz,Centaur Warrunner,Lina,0
23114,Centaur Warrunner,Vengeful Spirit,Zeus,Bane,Treant Protector,0
23115,Lycanthrope,Leshrac,Kunkka,Invoker,Mirana,0
23116,Kunkka,Ogre Magi,Nature's Prophet,Clinkz,Clockwerk,0
23117,Jakiro,Lifestealer,Magnus,Queen of Pain,Beastmaster,0
23118,Beastmaster,Outworld Devourer,Luna,Shadow Demon,Undying,0
23119,Gyrocopter,Spirit Breaker,Nature's Prophet,Meepo,Batrider,0
23120,Weaver,Chen,Omniknight,Medusa,Shadow Shaman,0
23121,Kunkka,Leshrac,Bounty Hunter,Sven,Tidehunter,0
23122,Lina,Sand King,Mirana,Bounty Hunter,Bloodseeker,0
23123,Lina,Nyx Assassin,Pudge,Mirana,Tidehunter,0
23124,Lina,Silencer,Ancient Apparition,Sven,Luna,0
23125,Bloodseeker,Jakiro,Lifestealer,Faceless Void,Dazzle,0
23126,Sand King,Troll Warlord,Doom,Shadow Fiend,Gyrocopter,0
23127,Kunkka,Chaos Knight,Ancient Apparition,Juggernaut,Sand King,0
23128,Pudge,Phantom Assassin,Spirit Breaker,Wisp,Rubick,0
23129,Shadow Fiend,Bounty Hunter,Lina,Silencer,Lifestealer,0
23130,Enchantress,Luna,Shadow Shaman,Zeus,Sven,0
23131,Keeper of the Light,Phantom Lancer,Pudge,Witch Doctor,Windrunner,0
23132,Rubick,Queen of Pain,Anti-Mage,Crystal Maiden,Skeleton King,0
23133,Slark,Batrider,Dark Seer,Lina,Alchemist,0
23134,Nature's Prophet,Magnus,Shadow Fiend,Jakiro,Gyrocopter,0
23135,Shadow Fiend,Kunkka,Spirit Breaker,Pudge,Windrunner,0
23136,Alchemist,Axe,Visage,Rubick,Slardar,0
23137,Skeleton King,Enigma,Queen of Pain,Kunkka,Bloodseeker,0
23138,Nature's Prophet,Sven,Queen of Pain,Faceless Void,Vengeful Spirit,0
23139,Slardar,Earthshaker,Morphling,Pudge,Axe,0
23140,Disruptor,Chen,Tiny,Timbersaw,Rubick,0
23141,Pudge,Puck,Sniper,Bounty Hunter,Bloodseeker,0
23142,Kunkka,Zeus,Axe,Crystal Maiden,Shadow Demon,0
23143,Mirana,Bane,Treant Protector,Faceless Void,Queen of Pain,0
23144,Zeus,Rubick,Spectre,Windrunner,Lifestealer,0
23145,Leshrac,Invoker,Clinkz,Pudge,Lone Druid,0
23146,Ogre Magi,Broodmother,Warlock,Shadow Fiend,Rubick,0
23147,Windrunner,Outworld Devourer,Lich,Lina,Templar Assassin,0
23148,Phantom Lancer,Necrolyte,Queen of Pain,Keeper of the Light,Sniper,0
23149,Shadow Shaman,Rubick,Silencer,Enigma,Bounty Hunter,0
23150,Faceless Void,Gyrocopter,Witch Doctor,Lion,Invoker,0
23151,Doom,Bounty Hunter,Sniper,Skeleton King,Lifestealer,0
23152,Disruptor,Keeper of the Light,Weaver,Tinker,Dragon Knight,0
23153,Silencer,Meepo,Bounty Hunter,Faceless Void,Crystal Maiden,0
23154,Sniper,Morphling,Windrunner,Lina,Razor,0
23155,Pudge,Bounty Hunter,Phantom Lancer,Nature's Prophet,Ogre Magi,0
23156,Keeper of the Light,Death Prophet,Sven,Lion,Ancient Apparition,0
23157,Dark Seer,Lone Druid,Jakiro,Doom,Silencer,0
23158,Axe,Dark Seer,Invoker,Anti-Mage,Rubick,0
23159,Anti-Mage,Templar Assassin,Bounty Hunter,Nyx Assassin,Brewmaster,0
23160,Viper,Nature's Prophet,Weaver,Magnus,Alchemist,0
23161,Bounty Hunter,Morphling,Storm Spirit,Invoker,Zeus,0
23162,Necrolyte,Gyrocopter,Magnus,Pudge,Slark,0
23163,Drow Ranger,Vengeful Spirit,Shadow Fiend,Weaver,Luna,0
23164,Luna,Rubick,Slark,Jakiro,Mirana,0
23165,Gyrocopter,Pudge,Axe,Mirana,Omniknight,0
23166,Weaver,Enigma,Sand King,Troll Warlord,Shadow Shaman,0
23167,Troll Warlord,Invoker,Lion,Earthshaker,Tinker,0
23168,Skeleton King,Crystal Maiden,Doom,Venomancer,Storm Spirit,0
23169,Wisp,Anti-Mage,Viper,Shadow Shaman,Tiny,0
23170,Omniknight,Morphling,Juggernaut,Tinker,Timbersaw,0
23171,Chaos Knight,Huskar,Wisp,Storm Spirit,Keeper of the Light,0
23172,Sand King,Dark Seer,Tinker,Rubick,Spirit Breaker,0
23173,Zeus,Nature's Prophet,Anti-Mage,Keeper of the Light,Beastmaster,0
23174,Anti-Mage,Axe,Crystal Maiden,Pudge,Witch Doctor,0
23175,Spirit Breaker,Shadow Fiend,Clinkz,Rubick,Venomancer,0
23176,Earthshaker,Doom,Windrunner,Pugna,Gyrocopter,0
23177,Brewmaster,Queen of Pain,Axe,Tinker,Bounty Hunter,0
23178,Pudge,Windrunner,Night Stalker,Omniknight,Faceless Void,0
23179,Outworld Devourer,Dark Seer,Tidehunter,Troll Warlord,Gyrocopter,0
23180,Troll Warlord,Medusa,Riki,Puck,Pudge,0
23181,Witch Doctor,Puck,Clockwerk,Slark,Lina,0
23182,Drow Ranger,Death Prophet,Spectre,Venomancer,Ursa,0
23183,Shadow Fiend,Faceless Void,Enigma,Ancient Apparition,Alchemist,0
23184,Rubick,Lifestealer,Nature's Prophet,Pudge,Clockwerk,0
23185,Shadow Shaman,Luna,Keeper of the Light,Axe,Medusa,0
23186,Ursa,Bane,Juggernaut,Silencer,Outworld Devourer,0
23187,Nature's Prophet,Dark Seer,Kunkka,Shadow Demon,Drow Ranger,0
23188,Mirana,Lina,Broodmother,Invoker,Windrunner,0
23189,Puck,Sniper,Keeper of the Light,Weaver,Earthshaker,0
23190,Warlock,Necrolyte,Alchemist,Shadow Demon,Sand King,0
23191,Timbersaw,Drow Ranger,Windrunner,Tiny,Vengeful Spirit,0
23192,Nyx Assassin,Wisp,Phantom Assassin,Mirana,Shadow Demon,0
23193,Centaur Warrunner,Sniper,Enchantress,Templar Assassin,Crystal Maiden,0
23194,Pudge,Zeus,Lycanthrope,Drow Ranger,Puck,0
23195,Axe,Death Prophet,Dragon Knight,Shadow Fiend,Dazzle,0
23196,Wisp,Necrolyte,Leshrac,Clockwerk,Sven,0
23197,Omniknight,Tidehunter,Nyx Assassin,Phantom Lancer,Invoker,0
23198,Windrunner,Lion,Pudge,Morphling,Rubick,0
23199,Lone Druid,Windrunner,Lina,Kunkka,Storm Spirit,0
23200,Invoker,Kunkka,Keeper of the Light,Leshrac,Phantom Assassin,0
23201,Silencer,Shadow Fiend,Anti-Mage,Lich,Mirana,0
23202,Earthshaker,Sand King,Nature's Prophet,Razor,Brewmaster,0
23203,Kunkka,Windrunner,Shadow Shaman,Enchantress,Phantom Lancer,0
23204,Lion,Beastmaster,Jakiro,Juggernaut,Shadow Fiend,0
23205,Juggernaut,Alchemist,Axe,Rubick,Slardar,0
23206,Anti-Mage,Lion,Witch Doctor,Ogre Magi,Pudge,0
23207,Windrunner,Nature's Prophet,Slark,Invoker,Wisp,0
23208,Nyx Assassin,Keeper of the Light,Juggernaut,Viper,Timbersaw,0
23209,Razor,Bounty Hunter,Warlock,Lifestealer,Phantom Assassin,0
23210,Invoker,Doom,Ursa,Omniknight,Necrolyte,0
23211,Medusa,Queen of Pain,Lich,Enigma,Windrunner,0
23212,Puck,Nature's Prophet,Sand King,Storm Spirit,Silencer,0
23213,Morphling,Nature's Prophet,Invoker,Lifestealer,Rubick,0
23214,Mirana,Dragon Knight,Disruptor,Invoker,Faceless Void,0
23215,Drow Ranger,Nature's Prophet,Rubick,Dragon Knight,Nyx Assassin,0
23216,Nyx Assassin,Sniper,Doom,Enigma,Wisp,0
23217,Lich,Clinkz,Windrunner,Enigma,Anti-Mage,0
23218,Ursa,Weaver,Tidehunter,Spirit Breaker,Luna,0
23219,Slardar,Rubick,Lich,Witch Doctor,Queen of Pain,0
23220,Bounty Hunter,Centaur Warrunner,Rubick,Bane,Storm Spirit,0
23221,Sand King,Phantom Assassin,Lone Druid,Pudge,Sniper,0
23222,Timbersaw,Nature's Prophet,Silencer,Luna,Keeper of the Light,0
23223,Death Prophet,Anti-Mage,Earthshaker,Sven,Windrunner,0
23224,Alchemist,Undying,Axe,Windrunner,Centaur Warrunner,0
23225,Luna,Templar Assassin,Slark,Spectre,Necrolyte,0
23226,Drow Ranger,Faceless Void,Timbersaw,Queen of Pain,Sven,0
23227,Death Prophet,Night Stalker,Chen,Nature's Prophet,Windrunner,0
23228,Shadow Demon,Axe,Alchemist,Necrolyte,Broodmother,0
23229,Outworld Devourer,Zeus,Queen of Pain,Windrunner,Puck,0
23230,Anti-Mage,Shadow Demon,Omniknight,Mirana,Warlock,0
23231,Troll Warlord,Venomancer,Pugna,Tiny,Invoker,0
23232,Shadow Fiend,Rubick,Slark,Weaver,Shadow Shaman,0
23233,Lycanthrope,Pudge,Tidehunter,Windrunner,Wisp,0
23234,Alchemist,Sand King,Lion,Mirana,Invoker,0
23235,Alchemist,Rubick,Pudge,Chaos Knight,Invoker,0
23236,Sand King,Dark Seer,Lone Druid,Tinker,Lina,0
23237,Pudge,Meepo,Weaver,Lifestealer,Vengeful Spirit,0
23238,Shadow Fiend,Rubick,Earthshaker,Dark Seer,Tinker,0
23239,Witch Doctor,Alchemist,Lion,Riki,Timbersaw,0
23240,Juggernaut,Enchantress,Shadow Fiend,Keeper of the Light,Lion,0
23241,Mirana,Visage,Weaver,Pudge,Keeper of the Light,0
23242,Venomancer,Nature's Prophet,Shadow Fiend,Ogre Magi,Bounty Hunter,0
23243,Ancient Apparition,Lich,Dazzle,Phantom Assassin,Pudge,0
23244,Clockwerk,Shadow Demon,Tidehunter,Lone Druid,Sniper,0
23245,Sand King,Kunkka,Crystal Maiden,Shadow Fiend,Ogre Magi,0
23246,Spectre,Riki,Crystal Maiden,Lina,Broodmother,0
23247,Bounty Hunter,Slark,Storm Spirit,Timbersaw,Magnus,0
23248,Jakiro,Timbersaw,Nature's Prophet,Phantom Lancer,Leshrac,0
23249,Warlock,Troll Warlord,Dark Seer,Pudge,Drow Ranger,0
23250,Queen of Pain,Luna,Witch Doctor,Undying,Nyx Assassin,0
23251,Beastmaster,Rubick,Weaver,Enigma,Windrunner,0
23252,Tinker,Bloodseeker,Zeus,Storm Spirit,Earthshaker,0
23253,Puck,Batrider,Ogre Magi,Clockwerk,Anti-Mage,0
23254,Venomancer,Keeper of the Light,Meepo,Lifestealer,Warlock,0
23255,Kunkka,Queen of Pain,Witch Doctor,Rubick,Shadow Demon,0
23256,Dragon Knight,Clockwerk,Invoker,Batrider,Tinker,0
23257,Pudge,Spectre,Enigma,Alchemist,Shadow Fiend,0
23258,Axe,Drow Ranger,Outworld Devourer,Slardar,Shadow Demon,0
23259,Bounty Hunter,Invoker,Phantom Lancer,Nyx Assassin,Puck,0
23260,Nature's Prophet,Windrunner,Crystal Maiden,Queen of Pain,Naga Siren,0
23261,Lycanthrope,Windrunner,Ogre Magi,Viper,Nyx Assassin,0
23262,Batrider,Rubick,Kunkka,Pudge,Lifestealer,0
23263,Weaver,Pudge,Shadow Demon,Axe,Troll Warlord,0
23264,Slardar,Lina,Nyx Assassin,Luna,Faceless Void,0
23265,Pudge,Disruptor,Shadow Fiend,Keeper of the Light,Necrolyte,0
23266,Keeper of the Light,Pudge,Sven,Storm Spirit,Shadow Shaman,0
23267,Lifestealer,Nature's Prophet,Clinkz,Keeper of the Light,Rubick,0
23268,Lifestealer,Zeus,Vengeful Spirit,Outworld Devourer,Rubick,0
23269,Dark Seer,Vengeful Spirit,Lycanthrope,Silencer,Windrunner,0
23270,Shadow Demon,Death Prophet,Leshrac,Outworld Devourer,Enchantress,0
23271,Rubick,Phantom Assassin,Shadow Shaman,Nature's Prophet,Windrunner,0
23272,Lone Druid,Puck,Faceless Void,Lina,Invoker,0
23273,Queen of Pain,Slark,Ancient Apparition,Batrider,Pudge,0
23274,Lone Druid,Lina,Juggernaut,Queen of Pain,Omniknight,0
23275,Undying,Sven,Queen of Pain,Magnus,Naga Siren,0
23276,Faceless Void,Puck,Crystal Maiden,Lycanthrope,Death Prophet,0
23277,Puck,Anti-Mage,Earthshaker,Timbersaw,Gyrocopter,0
23278,Sniper,Juggernaut,Brewmaster,Lich,Tidehunter,0
23279,Alchemist,Night Stalker,Shadow Fiend,Kunkka,Dark Seer,0
23280,Faceless Void,Magnus,Silencer,Bounty Hunter,Enigma,0
23281,Dazzle,Ursa,Naga Siren,Windrunner,Lone Druid,0
23282,Faceless Void,Tiny,Nyx Assassin,Lifestealer,Juggernaut,0
23283,Batrider,Dark Seer,Invoker,Kunkka,Viper,0
23284,Shadow Fiend,Alchemist,Nature's Prophet,Riki,Tiny,0
23285,Wisp,Tiny,Sniper,Queen of Pain,Invoker,0
23286,Phantom Assassin,Doom,Crystal Maiden,Shadow Fiend,Windrunner,0
23287,Alchemist,Disruptor,Clinkz,Magnus,Nature's Prophet,0
23288,Meepo,Undying,Gyrocopter,Death Prophet,Kunkka,0
23289,Nature's Prophet,Tinker,Sniper,Timbersaw,Ursa,0
23290,Crystal Maiden,Mirana,Anti-Mage,Invoker,Axe,0
23291,Earthshaker,Death Prophet,Pugna,Treant Protector,Storm Spirit,0
23292,Kunkka,Lina,Puck,Morphling,Tiny,0
23293,Rubick,Dark Seer,Batrider,Faceless Void,Witch Doctor,0
23294,Magnus,Windrunner,Clinkz,Witch Doctor,Invoker,0
23295,Invoker,Alchemist,Rubick,Troll Warlord,Dazzle,0
23296,Troll Warlord,Storm Spirit,Venomancer,Juggernaut,Beastmaster,0
23297,Shadow Demon,Sniper,Phantom Lancer,Centaur Warrunner,Witch Doctor,0
23298,Juggernaut,Doom,Anti-Mage,Tinker,Tiny,0
23299,Nature's Prophet,Luna,Dark Seer,Necrolyte,Queen of Pain,0
23300,Beastmaster,Viper,Slark,Razor,Storm Spirit,0
23301,Zeus,Axe,Pudge,Nyx Assassin,Shadow Fiend,0
23302,Storm Spirit,Ancient Apparition,Lifestealer,Huskar,Sven,0
23303,Shadow Demon,Pudge,Skeleton King,Dragon Knight,Huskar,0
23304,Spirit Breaker,Alchemist,Templar Assassin,Ogre Magi,Phantom Lancer,0
23305,Pudge,Lone Druid,Outworld Devourer,Zeus,Lich,0
23306,Mirana,Night Stalker,Zeus,Luna,Phantom Assassin,0
23307,Dragon Knight,Shadow Shaman,Ursa,Broodmother,Enigma,0
23308,Windrunner,Queen of Pain,Silencer,Axe,Anti-Mage,0
23309,Slark,Queen of Pain,Invoker,Lifestealer,Puck,0
23310,Rubick,Sand King,Lifestealer,Venomancer,Bounty Hunter,0
23311,Axe,Windrunner,Kunkka,Mirana,Bane,0
23312,Anti-Mage,Nature's Prophet,Lich,Zeus,Spectre,0
23313,Silencer,Windrunner,Morphling,Undying,Keeper of the Light,0
23314,Nyx Assassin,Tidehunter,Shadow Demon,Luna,Earthshaker,0
23315,Treant Protector,Puck,Leshrac,Phantom Assassin,Silencer,0
23316,Pudge,Bounty Hunter,Windrunner,Ursa,Spectre,0
23317,Axe,Lina,Spectre,Pudge,Rubick,0
23318,Tinker,Luna,Naga Siren,Sven,Treant Protector,0
23319,Nyx Assassin,Axe,Viper,Storm Spirit,Mirana,0
23320,Axe,Shadow Fiend,Lone Druid,Crystal Maiden,Juggernaut,0
23321,Timbersaw,Shadow Fiend,Ogre Magi,Windrunner,Medusa,0
23322,Bloodseeker,Disruptor,Timbersaw,Viper,Huskar,0
23323,Huskar,Silencer,Meepo,Ursa,Pudge,0
23324,Clinkz,Keeper of the Light,Sven,Crystal Maiden,Nyx Assassin,0
23325,Huskar,Invoker,Tinker,Sand King,Warlock,0
23326,Anti-Mage,Bloodseeker,Queen of Pain,Warlock,Tidehunter,0
23327,Anti-Mage,Death Prophet,Nyx Assassin,Magnus,Pugna,0
23328,Pudge,Doom,Disruptor,Zeus,Brewmaster,0
23329,Naga Siren,Witch Doctor,Tiny,Nature's Prophet,Clockwerk,0
23330,Sand King,Broodmother,Storm Spirit,Invoker,Beastmaster,0
23331,Chaos Knight,Nature's Prophet,Gyrocopter,Broodmother,Windrunner,0
23332,Storm Spirit,Nyx Assassin,Phantom Assassin,Venomancer,Centaur Warrunner,0
23333,Naga Siren,Death Prophet,Clockwerk,Keeper of the Light,Enigma,0
23334,Beastmaster,Disruptor,Doom,Phantom Lancer,Crystal Maiden,0
23335,Weaver,Rubick,Faceless Void,Batrider,Pudge,0
23336,Zeus,Drow Ranger,Wisp,Lone Druid,Huskar,0
23337,Viper,Skeleton King,Clockwerk,Mirana,Phantom Assassin,0
23338,Phantom Assassin,Pudge,Bane,Queen of Pain,Ursa,0
23339,Nature's Prophet,Puck,Anti-Mage,Bounty Hunter,Wisp,0
23340,Spectre,Enigma,Crystal Maiden,Pugna,Weaver,0
23341,Weaver,Mirana,Sven,Dark Seer,Chen,0
23342,Shadow Fiend,Undying,Keeper of the Light,Magnus,Storm Spirit,0
23343,Phantom Assassin,Beastmaster,Slardar,Puck,Tiny,0
23344,Slark,Nature's Prophet,Omniknight,Pudge,Tidehunter,0
23345,Medusa,Timbersaw,Anti-Mage,Windrunner,Alchemist,0
23346,Bane,Storm Spirit,Slardar,Slark,Crystal Maiden,0
23347,Shadow Demon,Night Stalker,Weaver,Timbersaw,Silencer,0
23348,Kunkka,Phantom Assassin,Invoker,Huskar,Visage,0
23349,Invoker,Lone Druid,Weaver,Clockwerk,Keeper of the Light,0
23350,Keeper of the Light,Outworld Devourer,Bounty Hunter,Witch Doctor,Batrider,0
23351,Rubick,Disruptor,Dragon Knight,Tinker,Sven,0
23352,Slark,Windrunner,Magnus,Drow Ranger,Ancient Apparition,0
23353,Sniper,Visage,Meepo,Weaver,Lycanthrope,0
23354,Sand King,Ogre Magi,Razor,Slardar,Outworld Devourer,0
23355,Nature's Prophet,Timbersaw,Necrolyte,Gyrocopter,Invoker,0
23356,Jakiro,Pudge,Morphling,Timbersaw,Phantom Assassin,0
23357,Dazzle,Sniper,Kunkka,Slardar,Wisp,0
23358,Storm Spirit,Nyx Assassin,Beastmaster,Kunkka,Axe,0
23359,Sand King,Riki,Disruptor,Beastmaster,Outworld Devourer,0
23360,Vengeful Spirit,Luna,Lifestealer,Pudge,Lone Druid,0
23361,Pudge,Templar Assassin,Lion,Bloodseeker,Tiny,0
23362,Invoker,Dark Seer,Windrunner,Venomancer,Riki,0
23363,Witch Doctor,Templar Assassin,Storm Spirit,Queen of Pain,Brewmaster,0
23364,Venomancer,Sand King,Shadow Shaman,Templar Assassin,Death Prophet,0
23365,Zeus,Nature's Prophet,Beastmaster,Silencer,Lina,0
23366,Batrider,Weaver,Nature's Prophet,Keeper of the Light,Phantom Lancer,0
23367,Alchemist,Clinkz,Clockwerk,Vengeful Spirit,Nature's Prophet,0
23368,Doom,Vengeful Spirit,Slardar,Weaver,Windrunner,0
23369,Nature's Prophet,Kunkka,Skeleton King,Clinkz,Nyx Assassin,0
23370,Viper,Chen,Meepo,Spirit Breaker,Shadow Shaman,0
23371,Tinker,Alchemist,Bounty Hunter,Venomancer,Bane,0
23372,Sand King,Riki,Luna,Drow Ranger,Storm Spirit,0
23373,Shadow Fiend,Morphling,Dark Seer,Tidehunter,Axe,0
23374,Windrunner,Batrider,Lina,Leshrac,Mirana,0
23375,Storm Spirit,Keeper of the Light,Leshrac,Undying,Naga Siren,0
23376,Anti-Mage,Pugna,Wisp,Leshrac,Meepo,0
23377,Lifestealer,Bane,Nature's Prophet,Vengeful Spirit,Bounty Hunter,0
23378,Brewmaster,Windrunner,Nature's Prophet,Sand King,Leshrac,0
23379,Templar Assassin,Enigma,Pudge,Drow Ranger,Lone Druid,0
23380,Enchantress,Outworld Devourer,Pudge,Anti-Mage,Crystal Maiden,0
23381,Tinker,Slark,Phantom Lancer,Magnus,Ancient Apparition,0
23382,Windrunner,Enchantress,Juggernaut,Gyrocopter,Crystal Maiden,0
23383,Spectre,Invoker,Kunkka,Venomancer,Shadow Demon,0
23384,Shadow Demon,Lone Druid,Templar Assassin,Gyrocopter,Bounty Hunter,0
23385,Keeper of the Light,Alchemist,Lifestealer,Crystal Maiden,Windrunner,0
23386,Nyx Assassin,Tiny,Slark,Spectre,Shadow Fiend,0
23387,Luna,Pudge,Riki,Skeleton King,Invoker,0
23388,Bounty Hunter,Anti-Mage,Mirana,Lion,Clockwerk,0
23389,Nature's Prophet,Windrunner,Keeper of the Light,Faceless Void,Kunkka,0
23390,Drow Ranger,Skeleton King,Ancient Apparition,Outworld Devourer,Medusa,0
23391,Razor,Puck,Pudge,Drow Ranger,Nyx Assassin,0
23392,Invoker,Bane,Tinker,Phantom Lancer,Nyx Assassin,0
23393,Lion,Treant Protector,Troll Warlord,Dazzle,Omniknight,0
23394,Vengeful Spirit,Doom,Night Stalker,Puck,Batrider,0
23395,Dragon Knight,Alchemist,Keeper of the Light,Chaos Knight,Wisp,0
23396,Witch Doctor,Omniknight,Broodmother,Juggernaut,Sniper,0
23397,Wisp,Gyrocopter,Morphling,Pudge,Sven,0
23398,Lifestealer,Timbersaw,Disruptor,Juggernaut,Sniper,0
23399,Wisp,Sand King,Dark Seer,Disruptor,Storm Spirit,0
23400,Nature's Prophet,Spectre,Lina,Chaos Knight,Nyx Assassin,0
23401,Earthshaker,Death Prophet,Shadow Demon,Anti-Mage,Windrunner,0
23402,Windrunner,Shadow Shaman,Leshrac,Zeus,Faceless Void,0
23403,Beastmaster,Puck,Viper,Queen of Pain,Lifestealer,0
23404,Weaver,Phantom Assassin,Silencer,Visage,Phantom Lancer,0
23405,Sniper,Gyrocopter,Outworld Devourer,Wisp,Crystal Maiden,0
23406,Tiny,Kunkka,Pugna,Alchemist,Ogre Magi,0
23407,Shadow Shaman,Dark Seer,Invoker,Ursa,Enchantress,0
23408,Windrunner,Ancient Apparition,Enigma,Bloodseeker,Anti-Mage,0
23409,Bounty Hunter,Lifestealer,Nature's Prophet,Lich,Invoker,0
23410,Outworld Devourer,Kunkka,Jakiro,Pudge,Leshrac,0
23411,Silencer,Shadow Demon,Tiny,Keeper of the Light,Kunkka,0
23412,Shadow Fiend,Weaver,Enchantress,Warlock,Mirana,0
23413,Axe,Windrunner,Rubick,Kunkka,Naga Siren,0
23414,Windrunner,Templar Assassin,Ogre Magi,Axe,Shadow Fiend,0
23415,Kunkka,Disruptor,Lina,Undying,Storm Spirit,0
23416,Rubick,Bounty Hunter,Earthshaker,Timbersaw,Sniper,0
23417,Keeper of the Light,Windrunner,Zeus,Lone Druid,Skeleton King,0
23418,Enigma,Lone Druid,Crystal Maiden,Phantom Lancer,Sand King,0
23419,Chaos Knight,Dark Seer,Rubick,Enigma,Wisp,0
23420,Puck,Storm Spirit,Lifestealer,Ancient Apparition,Sniper,0
23421,Undying,Dark Seer,Shadow Shaman,Nyx Assassin,Sven,0
23422,Slardar,Riki,Lifestealer,Keeper of the Light,Queen of Pain,0
23423,Shadow Fiend,Juggernaut,Leshrac,Rubick,Anti-Mage,0
23424,Faceless Void,Jakiro,Wisp,Kunkka,Earthshaker,0
23425,Tidehunter,Witch Doctor,Enigma,Shadow Fiend,Bounty Hunter,0
23426,Shadow Fiend,Juggernaut,Venomancer,Keeper of the Light,Phantom Lancer,0
23427,Lion,Naga Siren,Kunkka,Broodmother,Bloodseeker,0
23428,Storm Spirit,Pudge,Axe,Crystal Maiden,Phantom Lancer,0
23429,Jakiro,Mirana,Templar Assassin,Ancient Apparition,Nyx Assassin,0
23430,Axe,Tiny,Gyrocopter,Windrunner,Shadow Demon,0
23431,Sand King,Lina,Vengeful Spirit,Alchemist,Mirana,0
23432,Batrider,Slardar,Death Prophet,Queen of Pain,Nyx Assassin,0
23433,Enigma,Queen of Pain,Axe,Lion,Windrunner,0
23434,Invoker,Keeper of the Light,Viper,Lone Druid,Disruptor,0
23435,Brewmaster,Troll Warlord,Ogre Magi,Pugna,Medusa,0
23436,Chaos Knight,Lifestealer,Rubick,Drow Ranger,Bounty Hunter,0
23437,Troll Warlord,Lone Druid,Visage,Nyx Assassin,Razor,0
23438,Lion,Night Stalker,Pudge,Invoker,Faceless Void,0
23439,Pudge,Witch Doctor,Lich,Anti-Mage,Ogre Magi,0
23440,Nature's Prophet,Mirana,Lich,Bounty Hunter,Spectre,0
23441,Earthshaker,Invoker,Troll Warlord,Dark Seer,Axe,0
23442,Magnus,Shadow Fiend,Invoker,Juggernaut,Sven,0
23443,Centaur Warrunner,Lifestealer,Wisp,Kunkka,Visage,0
23444,Weaver,Bounty Hunter,Nyx Assassin,Crystal Maiden,Axe,0
23445,Lifestealer,Earthshaker,Bane,Pudge,Alchemist,0
23446,Slark,Crystal Maiden,Sven,Queen of Pain,Weaver,0
23447,Sniper,Shadow Fiend,Leshrac,Troll Warlord,Sven,0
23448,Axe,Queen of Pain,Spectre,Rubick,Viper,0
23449,Nyx Assassin,Lone Druid,Lifestealer,Tiny,Slark,0
23450,Nature's Prophet,Timbersaw,Sand King,Magnus,Shadow Fiend,0
23451,Ursa,Wisp,Brewmaster,Anti-Mage,Mirana,0
23452,Weaver,Phantom Assassin,Lifestealer,Invoker,Meepo,0
23453,Sven,Lina,Windrunner,Kunkka,Enchantress,0
23454,Invoker,Morphling,Visage,Lifestealer,Dragon Knight,0
23455,Lina,Faceless Void,Windrunner,Slardar,Lion,0
23456,Puck,Magnus,Shadow Demon,Disruptor,Beastmaster,0
23457,Kunkka,Ancient Apparition,Warlock,Necrolyte,Phantom Lancer,0
23458,Medusa,Beastmaster,Rubick,Shadow Demon,Meepo,0
23459,Lifestealer,Invoker,Undying,Beastmaster,Windrunner,0
23460,Riki,Nature's Prophet,Outworld Devourer,Alchemist,Kunkka,0
23461,Bounty Hunter,Nyx Assassin,Juggernaut,Shadow Demon,Mirana,0
23462,Axe,Dark Seer,Sniper,Batrider,Timbersaw,0
23463,Axe,Mirana,Tidehunter,Outworld Devourer,Venomancer,0
23464,Magnus,Night Stalker,Faceless Void,Bane,Troll Warlord,0
23465,Invoker,Lich,Crystal Maiden,Vengeful Spirit,Clockwerk,0
23466,Tinker,Dark Seer,Lycanthrope,Sniper,Windrunner,0
